PROVIDER ,PRODUCT_ID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
AXA_BANK,AXAB0001,new car,2500,70000,12,1.4
AXA_BANK,AXAB0001,new car,2500,70000,24,1.4
AXA_BANK,AXAB0001,new car,3500,70000,30,1.4
AXA_BANK,AXAB0001,new car,4500,70000,36,1.4
AXA_BANK,AXAB0001,new car,6500,70000,42,1.4
AXA_BANK,AXAB0001,new car,8500,70000,48,1.4
AXA_BANK,AXAB0001,new car,10500,70000,60,1.4
AXA_BANK,AXAB0001,new car,17500,70000,72,1.6
AXA_BANK,AXAB0001,new car,17500,70000,84,1.6
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,2500,70000,12,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,2500,70000,24,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,3500,70000,30,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,4500,70000,36,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,6500,70000,42,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,8500,70000,48,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,10500,70000,60,1.4
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,17500,70000,72,1.6
AXA_BANK,AXAB0001,2nd_hand_car_lt_6month,17500,70000,84,1.6
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,2500,70000,12,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,2500,70000,24,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,3500,70000,30,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,4500,70000,36,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,6500,70000,42,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,8500,70000,48,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,10500,70000,60,1.4
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,17500,70000,72,1.6
AXA_BANK,AXAB0002,2nd_hand_car_btn_6M_to_3Y,17500,70000,84,1.6
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,2500,70000,12,3.85
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,2500,70000,24,3.85
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,3500,70000,30,3.85
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,4500,70000,36,3.85
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,6500,70000,42,3.85
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,8500,70000,48,3.85
AXA_BANK,AXAB0002,2nd_hand_car_btn_3Y_to_5Y,10500,70000,60,3.85
AXA_BANK,AXAB0002,new_motobike,2500,70000,12,1.4
AXA_BANK,AXAB0002,new_motobike,2500,70000,24,1.4
AXA_BANK,AXAB0002,new_motobike,3500,70000,30,1.4
AXA_BANK,AXAB0002,new_motobike,4500,70000,36,1.4
AXA_BANK,AXAB0002,new_motobike,6500,70000,42,1.4
AXA_BANK,AXAB0002,new_motobike,8500,70000,48,1.4
AXA_BANK,AXAB0002,new_motobike,10500,70000,60,1.4
AXA_BANK,AXAB0002,new_motobike,17500,70000,72,1.6
AXA_BANK,AXAB0002,new_motobike,17500,70000,84,1.6
AXA_BANK,AXAB0002,motobike_lt_3Y,2500,70000,12,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,2500,70000,24,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,3500,70000,30,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,4500,70000,36,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,6500,70000,42,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,8500,70000,48,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,10500,70000,60,1.4
AXA_BANK,AXAB0002,motobike_lt_3Y,17500,70000,72,1.6
AXA_BANK,AXAB0002,motobike_lt_3Y,17500,70000,84,1.6
