PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CBC BANK,CBCX0001,Prêt Voiture Neuve,2500.0,25000.0,12,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,2500.0,25000.0,18,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,2500.0,25000.0,24,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,2500.0,25000.0,30,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,4000.0,25000.0,36,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,6000.0,25000.0,42,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,8000.0,25000.0,48,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,11000.0,25000.0,54,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,11000.0,25000.0,60,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,17000.0,25000.0,66,1.5
CBC BANK,CBCX0001,Prêt Voiture Neuve,17000.0,25000.0,72,1.5
CBC BANK,CBCX0002,Prêt Voiture d'occasion,2500.0,25000.0,12,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,2500.0,25000.0,18,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,2500.0,25000.0,24,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,2500.0,25000.0,30,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,4000.0,25000.0,36,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,6000.0,25000.0,42,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,8000.0,25000.0,48,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,11000.0,25000.0,54,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,11000.0,25000.0,60,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,17000.0,25000.0,66,3.95
CBC BANK,CBCX0002,Prêt Voiture d'occasion,17000.0,25000.0,72,3.95
CBC BANK,CBCX0003,Prêt Rénovation,2500.0,25000.0,12,2.95
CBC BANK,CBCX0003,Prêt Rénovation,2500.0,25000.0,18,2.95
CBC BANK,CBCX0003,Prêt Rénovation,2500.0,25000.0,24,2.95
CBC BANK,CBCX0003,Prêt Rénovation,2500.0,25000.0,30,2.95
CBC BANK,CBCX0003,Prêt Rénovation,4000.0,25000.0,36,2.95
CBC BANK,CBCX0003,Prêt Rénovation,6000.0,25000.0,42,2.95
CBC BANK,CBCX0003,Prêt Rénovation,8000.0,25000.0,48,2.95
CBC BANK,CBCX0003,Prêt Rénovation,11000.0,25000.0,54,2.95
CBC BANK,CBCX0003,Prêt Rénovation,11000.0,25000.0,60,2.95
CBC BANK,CBCX0003,Prêt Rénovation,17000.0,25000.0,66,2.95
CBC BANK,CBCX0003,Prêt Rénovation,17000.0,25000.0,72,2.95
CBC BANK,CBCX0004,Prêt Personnel,2500.0,25000.0,12,5.99
CBC BANK,CBCX0004,Prêt Personnel,2500.0,25000.0,18,5.99
CBC BANK,CBCX0004,Prêt Personnel,2500.0,25000.0,24,5.99
CBC BANK,CBCX0004,Prêt Personnel,2500.0,25000.0,30,5.99
CBC BANK,CBCX0004,Prêt Personnel,4000.0,25000.0,36,5.99
CBC BANK,CBCX0004,Prêt Personnel,6000.0,25000.0,42,5.99
CBC BANK,CBCX0004,Prêt Personnel,8000.0,25000.0,48,5.99
CBC BANK,CBCX0004,Prêt Personnel,11000.0,25000.0,54,5.99
CBC BANK,CBCX0004,Prêt Personnel,11000.0,25000.0,60,5.99
CBC BANK,CBCX0004,Prêt Personnel,17000.0,25000.0,66,5.99
CBC BANK,CBCX0004,Prêt Personnel,17000.0,25000.0,72,5.99
CBC BANK,CBCX0005,Prêt Energie,2500.0,25000.0,12,1.8
CBC BANK,CBCX0005,Prêt Energie,2500.0,25000.0,18,1.8
CBC BANK,CBCX0005,Prêt Energie,2500.0,25000.0,24,1.8
CBC BANK,CBCX0005,Prêt Energie,2500.0,25000.0,30,1.8
CBC BANK,CBCX0005,Prêt Energie,4000.0,25000.0,36,1.8
CBC BANK,CBCX0005,Prêt Energie,6000.0,25000.0,42,1.8
CBC BANK,CBCX0005,Prêt Energie,8000.0,25000.0,48,1.8
CBC BANK,CBCX0005,Prêt Energie,11000.0,25000.0,54,1.8
CBC BANK,CBCX0005,Prêt Energie,11000.0,25000.0,60,1.8
CBC BANK,CBCX0005,Prêt Energie,17000.0,25000.0,66,1.8
CBC BANK,CBCX0005,Prêt Energie,17000.0,25000.0,72,1.8
