PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CETELEM,CETE0004,Prêt Energie,2500,4000,12,3.49
CETELEM,CETE0004,Prêt Energie,2500,4000,18,3.49
CETELEM,CETE0004,Prêt Energie,2500,4000,24,3.49
CETELEM,CETE0004,Prêt Energie,4000,4000,30,3.49
CETELEM,CETE0004,Prêt Energie,4000,4000,36,3.49
CETELEM,CETE0004,Prêt Energie,5500,75000,12,1.89
CETELEM,CETE0004,Prêt Energie,5500,75000,18,1.89
CETELEM,CETE0004,Prêt Energie,5500,75000,24,1.89
CETELEM,CETE0004,Prêt Energie,5500,75000,30,1.89
CETELEM,CETE0004,Prêt Energie,5500,75000,36,1.89
CETELEM,CETE0004,Prêt Energie,7000,75000,42,1.89
CETELEM,CETE0004,Prêt Energie,8500,75000,48,1.89
CETELEM,CETE0004,Prêt Energie,11500,75000,54,1.89
CETELEM,CETE0004,Prêt Energie,11500,75000,60,1.89
CETELEM,CETE0004,Prêt Energie,16000,75000,66,3.25
CETELEM,CETE0004,Prêt Energie,16000,75000,72,3.25
CETELEM,CETE0004,Prêt Energie,16000,75000,78,3.25
CETELEM,CETE0004,Prêt Energie,16000,75000,84,3.25
CETELEM,CETE0004,Prêt Energie,25000,75000,96,3.25
CETELEM,CETE0004,Prêt Energie,25000,75000,108,3.25
CETELEM,CETE0004,Prêt Energie,25000,75000,120,3.25
