PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CETELEM,CETE0001,Prêt Personnel,1200,2200,12,12.5
CETELEM,CETE0001,Prêt Personnel,1200,2200,18,12.5
CETELEM,CETE0001,Prêt Personnel,1200,2200,24,12.5
CETELEM,CETE0001,Prêt Personnel,2500,4000,12,9.95
CETELEM,CETE0001,Prêt Personnel,2500,4000,18,9.95
CETELEM,CETE0001,Prêt Personnel,2500,4000,24,9.95
CETELEM,CETE0001,Prêt Personnel,4000,4000,30,9.95
CETELEM,CETE0001,Prêt Personnel,4000,4000,36,9.95
CETELEM,CETE0001,Prêt Personnel,5500,8500,12,7.95
CETELEM,CETE0001,Prêt Personnel,5500,8500,18,7.95
CETELEM,CETE0001,Prêt Personnel,5500,8500,24,7.95
CETELEM,CETE0001,Prêt Personnel,5500,8500,30,7.95
CETELEM,CETE0001,Prêt Personnel,5500,75000,36,5.95
CETELEM,CETE0001,Prêt Personnel,7000,75000,42,4.95
CETELEM,CETE0001,Prêt Personnel,8500,14500,36,4.95
CETELEM,CETE0001,Prêt Personnel,8500,75000,48,4.95
CETELEM,CETE0001,Prêt Personnel,10000,14500,12,6.95
CETELEM,CETE0001,Prêt Personnel,10000,14500,18,6.95
CETELEM,CETE0001,Prêt Personnel,10000,14500,24,6.95
CETELEM,CETE0001,Prêt Personnel,10000,14500,30,6.95
CETELEM,CETE0001,Prêt Personnel,11500,75000,54,4.95
CETELEM,CETE0001,Prêt Personnel,11500,75000,60,4.95
CETELEM,CETE0001,Prêt Personnel,16000,75000,12,5.95
CETELEM,CETE0001,Prêt Personnel,16000,75000,18,5.95
CETELEM,CETE0001,Prêt Personnel,16000,75000,24,5.95
CETELEM,CETE0001,Prêt Personnel,16000,75000,30,5.95
CETELEM,CETE0001,Prêt Personnel,16000,25000,66,4.95
CETELEM,CETE0001,Prêt Personnel,16000,25000,72,4.95
CETELEM,CETE0001,Prêt Personnel,16000,25000,78,4.95
CETELEM,CETE0001,Prêt Personnel,16000,25000,84,4.95
CETELEM,CETE0001,Prêt Personnel,25000,75000,96,6.95
CETELEM,CETE0001,Prêt Personnel,25000,75000,108,6.95
CETELEM,CETE0001,Prêt Personnel,25000,75000,120,6.95
CETELEM,CETE0001,Prêt Personnel,30000,75000,66,5.95
CETELEM,CETE0001,Prêt Personnel,30000,75000,72,5.95
CETELEM,CETE0001,Prêt Personnel,30000,75000,78,5.95
CETELEM,CETE0001,Prêt Personnel,30000,75000,84,5.95
