PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CETELEM,CETE0005,Prêt Renovation,2500,4000,12,4.45
CETELEM,CETE0005,Prêt Renovation,2500,4000,18,4.45
CETELEM,CETE0005,Prêt Renovation,2500,4000,24,4.45
CETELEM,CETE0005,Prêt Renovation,4000,4000,30,4.45
CETELEM,CETE0005,Prêt Renovation,4000,4000,36,4.45
CETELEM,CETE0005,Prêt Renovation,5500,75000,12,2.69
CETELEM,CETE0005,Prêt Renovation,5500,75000,18,2.69
CETELEM,CETE0005,Prêt Renovation,5500,75000,24,2.69
CETELEM,CETE0005,Prêt Renovation,5500,75000,30,2.69
CETELEM,CETE0005,Prêt Renovation,5500,75000,36,2.69
CETELEM,CETE0005,Prêt Renovation,7000,75000,42,2.69
CETELEM,CETE0005,Prêt Renovation,8500,75000,48,2.69
CETELEM,CETE0005,Prêt Renovation,11500,75000,54,2.69
CETELEM,CETE0005,Prêt Renovation,11500,75000,60,2.69
CETELEM,CETE0005,Prêt Renovation,16000,75000,66,3.49
CETELEM,CETE0005,Prêt Renovation,16000,75000,72,3.49
CETELEM,CETE0005,Prêt Renovation,16000,75000,78,3.49
CETELEM,CETE0005,Prêt Renovation,16000,75000,84,3.49
CETELEM,CETE0005,Prêt Renovation,25000,75000,96,3.49
CETELEM,CETE0005,Prêt Renovation,25000,75000,108,3.49
CETELEM,CETE0005,Prêt Renovation,25000,75000,120,3.49
