PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,2500,75000,12,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,2500,75000,18,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,2500,75000,24,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,4000,75000,30,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,4000,75000,36,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,7000,75000,42,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,8500,75000,48,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,11500,75000,54,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,11500,75000,60,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,16000,75000,66,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,16000,75000,72,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,16000,75000,78,2.49
CETELEM,CETE0002,Prêt Voiture 2nd main lt 36 mois,16000,75000,84,2.49
