PROVIDER ,PRODUCT_ID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CPH,CPHX0001,personal,1250,5000,24,9.6
CPH,CPHX0001,personal,1250,5000,18,9.6
CPH,CPHX0001,personal,1250,5000,12,9.6
CPH,CPHX0001,personal,1250,2500,6,9.6
CPH,CPHX0001,personal,1250,2500,1,9.6
CPH,CPHX0001,personal,3750,5000,36,9.6
CPH,CPHX0001,personal,3750,5000,30,9.6
CPH,CPHX0001,personal,6250,10000,42,6.5
CPH,CPHX0001,personal,6250,100000,36,6.5
CPH,CPHX0001,personal,6250,10000,30,6.5
CPH,CPHX0001,personal,6250,15000,24,6.5
CPH,CPHX0001,personal,6250,7500,18,6.5
CPH,CPHX0001,personal,8750,100000,48,6.5
CPH,CPHX0001,personal,15000,100000,60,6.6000000000000005
CPH,CPHX0001,personal,15000,15000,54,6.6000000000000005
CPH,CPHX0001,personal,20000,100000,84,7.199999999999999
CPH,CPHX0001,personal,20000,100000,72,6.9
CPH,CPHX0004,new car,1250,1250,22,1.09
CPH,CPHX0004,new car,1250,7500,18,1.09
CPH,CPHX0004,new car,1250,5000,12,1.09
CPH,CPHX0004,new car,1250,2500,6,1.09
CPH,CPHX0004,new car,1250,2500,1,1.09
CPH,CPHX0004,new car,2500,15000,24,1.09
CPH,CPHX0004,new car,3750,100000,36,1.09
CPH,CPHX0004,new car,3750,10000,30,1.09
CPH,CPHX0004,new car,6250,10000,42,1.09
CPH,CPHX0004,new car,8750,100000,48,1.09
CPH,CPHX0004,new car,15000,100000,60,1.1900000000000002
CPH,CPHX0004,new car,15000,15000,54,1.1900000000000002
CPH,CPHX0004,new car,20000,100000,84,2.59
CPH,CPHX0004,new car,20000,100000,72,2.29
CPH,CPHX0005,second hand car under 24 months,1250,1250,22,1.09
CPH,CPHX0005,second hand car under 24 months,1250,7500,18,1.09
CPH,CPHX0005,second hand car under 24 months,1250,5000,12,1.09
CPH,CPHX0005,second hand car under 24 months,1250,2500,6,1.09
CPH,CPHX0005,second hand car under 24 months,1250,2500,1,1.09
CPH,CPHX0005,second hand car under 24 months,2500,15000,24,1.09
CPH,CPHX0005,second hand car under 24 months,3750,100000,36,1.09
CPH,CPHX0005,second hand car under 24 months,3750,10000,30,1.09
CPH,CPHX0005,second hand car under 24 months,6250,10000,42,1.09
CPH,CPHX0005,second hand car under 24 months,8750,100000,48,1.09
CPH,CPHX0005,second hand car under 24 months,15000,100000,60,1.1900000000000002
CPH,CPHX0005,second hand car under 24 months,15000,15000,54,1.1900000000000002
CPH,CPHX0005,second hand car under 24 months,20000,100000,84,2.59
CPH,CPHX0005,second hand car under 24 months,20000,100000,72,2.29
CPH,CPHX0005,second hand car under 60 months,1250,1250,23,3.29
CPH,CPHX0005,second hand car under 60 months,1250,7500,18,3.29
CPH,CPHX0005,second hand car under 60 months,1250,5000,12,3.29
CPH,CPHX0005,second hand car under 60 months,1250,2500,6,3.29
CPH,CPHX0005,second hand car under 60 months,1250,2500,1,3.29
CPH,CPHX0005,second hand car under 60 months,2500,15000,24,3.29
CPH,CPHX0005,second hand car under 60 months,3750,100000,36,3.29
CPH,CPHX0005,second hand car under 60 months,3750,10000,30,3.29
CPH,CPHX0005,second hand car under 60 months,6250,10000,42,3.29
CPH,CPHX0005,second hand car under 60 months,8750,100000,48,3.29
CPH,CPHX0005,second hand car under 60 months,15000,100000,60,3.39
CPH,CPHX0005,second hand car under 60 months,15000,15000,54,3.39
CPH,CPHX0005,second hand car under 60 months,20000,100000,84,4.790000000000001
CPH,CPHX0005,second hand car under 60 months,20000,100000,72,4.49
CPH,CPHX0002,renovation max 84 months,1250,1250,23,2.29
CPH,CPHX0002,renovation max 84 months,1250,7500,18,2.29
CPH,CPHX0002,renovation max 84 months,1250,5000,12,2.29
CPH,CPHX0002,renovation max 84 months,1250,2500,6,2.29
CPH,CPHX0002,renovation max 84 months,1250,2500,1,2.29
CPH,CPHX0002,renovation max 84 months,2500,15000,24,2.29
CPH,CPHX0002,renovation max 84 months,3750,100000,36,2.29
CPH,CPHX0002,renovation max 84 months,3750,10000,30,2.29
CPH,CPHX0002,renovation max 84 months,6250,10000,42,2.29
CPH,CPHX0002,renovation max 84 months,8750,100000,48,2.29
CPH,CPHX0002,renovation max 84 months,15000,100000,60,2.39
CPH,CPHX0002,renovation max 84 months,15000,15000,54,2.39
CPH,CPHX0002,renovation max 84 months,20000,100000,84,3.7900000000000005
CPH,CPHX0002,renovation max 84 months,20000,100000,72,3.49
CPH,CPHX0002,renovation 84-120 months,1250,1250,23,2.29
CPH,CPHX0002,renovation 84-120 months,1250,7500,18,2.29
CPH,CPHX0002,renovation 84-120 months,1250,5000,12,2.29
CPH,CPHX0002,renovation 84-120 months,1250,2500,6,2.29
CPH,CPHX0002,renovation 84-120 months,1250,2500,1,2.29
CPH,CPHX0002,renovation 84-120 months,2500,15000,24,2.29
CPH,CPHX0002,renovation 84-120 months,3750,20000,36,2.29
CPH,CPHX0002,renovation 84-120 months,3750,10000,30,2.29
CPH,CPHX0002,renovation 84-120 months,6250,10000,42,2.29
CPH,CPHX0002,renovation 84-120 months,8750,100000,48,2.29
CPH,CPHX0002,renovation 84-120 months,15000,100000,60,2.39
CPH,CPHX0002,renovation 84-120 months,15000,15000,54,2.39
CPH,CPHX0002,renovation 84-120 months,20000,20000,84,2.9899999999999998
CPH,CPHX0002,renovation 84-120 months,20000,100000,72,2.69
CPH,CPHX0002,renovation 84-120 months,25000,100000,120,3.49
CPH,CPHX0002,renovation 84-120 months,25000,100000,96,3.49
CPH,CPHX0003,energy chauffage,1250,1250,22,1.09
CPH,CPHX0003,energy chauffage,1250,7500,18,1.09
CPH,CPHX0003,energy chauffage,1250,5000,12,1.09
CPH,CPHX0003,energy chauffage,1250,2500,6,1.09
CPH,CPHX0003,energy chauffage,1250,2500,1,1.09
CPH,CPHX0003,energy chauffage,2500,15000,24,1.09
CPH,CPHX0003,energy chauffage,3750,20000,36,1.09
CPH,CPHX0003,energy chauffage,3750,10000,30,1.09
CPH,CPHX0003,energy chauffage,6250,10000,42,1.09
CPH,CPHX0003,energy chauffage,8750,100000,48,1.09
CPH,CPHX0003,energy chauffage,15000,100000,60,1.1900000000000002
CPH,CPHX0003,energy chauffage,15000,15000,54,1.1900000000000002
CPH,CPHX0003,energy chauffage,20000,20000,84,1.79
CPH,CPHX0003,energy chauffage,20000,100000,72,1.49
CPH,CPHX0003,energy chauffage,25000,100000,120,2.29
CPH,CPHX0003,energy chauffage,25000,100000,96,2.29
CPH,CPHX0003,energy photovoltaique,1250,1250,22,1.09
CPH,CPHX0003,energy photovoltaique,1250,7500,18,1.09
CPH,CPHX0003,energy photovoltaique,1250,5000,12,1.09
CPH,CPHX0003,energy photovoltaique,1250,2500,6,1.09
CPH,CPHX0003,energy photovoltaique,1250,2500,1,1.09
CPH,CPHX0003,energy photovoltaique,2500,15000,24,1.09
CPH,CPHX0003,energy photovoltaique,3750,20000,36,1.09
CPH,CPHX0003,energy photovoltaique,3750,10000,30,1.09
CPH,CPHX0003,energy photovoltaique,6250,10000,42,1.09
CPH,CPHX0003,energy photovoltaique,8750,100000,48,1.09
CPH,CPHX0003,energy photovoltaique,15000,100000,60,1.1900000000000002
CPH,CPHX0003,energy photovoltaique,15000,15000,54,1.1900000000000002
CPH,CPHX0003,energy photovoltaique,20000,20000,84,1.79
CPH,CPHX0003,energy photovoltaique,20000,100000,72,1.49
CPH,CPHX0003,energy photovoltaique,25000,100000,120,2.29
CPH,CPHX0003,energy photovoltaique,25000,100000,96,2.29
CPH,CPHX0003,energy chassis double vitrage,1250,1250,22,1.09
CPH,CPHX0003,energy chassis double vitrage,1250,7500,18,1.09
CPH,CPHX0003,energy chassis double vitrage,1250,5000,12,1.09
CPH,CPHX0003,energy chassis double vitrage,1250,2500,6,1.09
CPH,CPHX0003,energy chassis double vitrage,1250,2500,1,1.09
CPH,CPHX0003,energy chassis double vitrage,2500,15000,24,1.09
CPH,CPHX0003,energy chassis double vitrage,3750,20000,36,1.09
CPH,CPHX0003,energy chassis double vitrage,3750,10000,30,1.09
CPH,CPHX0003,energy chassis double vitrage,6250,10000,42,1.09
CPH,CPHX0003,energy chassis double vitrage,8750,100000,48,1.09
CPH,CPHX0003,energy chassis double vitrage,15000,100000,60,1.1900000000000002
