PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CRELAN,CREL0001,new_car,2501,90001,13,1.17
CRELAN,CREL0001,new_car,2501,90001,18,1.17
CRELAN,CREL0001,new_car,2501,90001,24,1.17
CRELAN,CREL0001,new_car,2501,90001,30,1.17
CRELAN,CREL0001,new_car,3701,90001,36,1.17
CRELAN,CREL0001,new_car,5601,90001,42,1.17
CRELAN,CREL0001,new_car,7501,90001,48,1.17
CRELAN,CREL0001,new_car,10001,90001,54,1.17
CRELAN,CREL0001,new_car,10001,90001,60,1.17
CRELAN,CREL0001,new_car,15001,90001,66,1.74
CRELAN,CREL0001,new_car,15001,90001,72,1.74
CRELAN,CREL0001,new_car,15001,90001,78,1.74
CRELAN,CREL0001,new_car,15001,90001,84,1.74
CRELAN,CREL0002,second_hand_car,2501,90001,13,2.38
CRELAN,CREL0002,second_hand_car,2501,90001,18,2.38
CRELAN,CREL0002,second_hand_car,2501,90001,24,2.38
CRELAN,CREL0002,second_hand_car,2501,90001,30,2.38
CRELAN,CREL0002,second_hand_car,3701,90001,36,2.38
CRELAN,CREL0002,second_hand_car,5601,90001,42,2.38
CRELAN,CREL0002,second_hand_car,7501,90001,48,2.38
CRELAN,CREL0002,second_hand_car,10001,90001,54,2.38
CRELAN,CREL0002,second_hand_car,10001,90001,60,2.38
CRELAN,CREL0003,renovation,2501,90001,13,2.59
CRELAN,CREL0003,renovation,2501,90001,18,2.59
CRELAN,CREL0003,renovation,2501,90001,24,2.59
CRELAN,CREL0003,renovation,2501,90001,30,2.59
CRELAN,CREL0003,renovation,3701,90001,36,2.59
CRELAN,CREL0003,renovation,5601,90001,42,2.59
CRELAN,CREL0003,renovation,7501,90001,48,2.59
CRELAN,CREL0003,renovation,10001,90001,54,2.59
CRELAN,CREL0003,renovation,10001,90001,60,2.59
CRELAN,CREL0003,renovation,15001,90001,66,2.8
CRELAN,CREL0003,renovation,15001,90001,72,2.8
CRELAN,CREL0003,renovation,15001,90001,78,2.8
CRELAN,CREL0003,renovation,15001,90001,84,2.8
CRELAN,CREL0005,eco_energy,2501,90001,13,1.59
CRELAN,CREL0005,eco_energy,2501,90001,18,1.59
CRELAN,CREL0005,eco_energy,2501,90001,24,1.59
CRELAN,CREL0005,eco_energy,2501,90001,30,1.59
CRELAN,CREL0005,eco_energy,3701,90001,36,1.59
CRELAN,CREL0005,eco_energy,5601,90001,42,1.59
CRELAN,CREL0005,eco_energy,7501,90001,48,1.59
CRELAN,CREL0005,eco_energy,10001,90001,54,1.59
CRELAN,CREL0005,eco_energy,10001,90001,60,1.59
CRELAN,CREL0005,eco_energy,15001,90001,66,1.8
CRELAN,CREL0005,eco_energy,15001,90001,72,1.8
CRELAN,CREL0005,eco_energy,15001,90001,78,1.8
CRELAN,CREL0005,eco_energy,15001,90001,84,1.8
