PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
DHB_BANK,DHBX0001,personal,5000,100000,24,5.45
DHB_BANK,DHBX0001,personal,5000,100000,36,5.45
DHB_BANK,DHBX0001,personal,6000,7500,48,5.45
DHB_BANK,DHBX0001,personal,8000,100000,48,4.65
DHB_BANK,DHBX0001,personal,10500,100000,60,4.65
DHB_BANK,DHBX0001,personal,15500,100000,72,4.65
DHB_BANK,DHBX0001,personal,15500,100000,84,6.5
DHB_BANK,DHBX0001,personal,21000,100000,96,6.5
DHB_BANK,DHBX0001,personal,21000,100000,108,6.5
DHB_BANK,DHBX0001,personal,21000,100000,120,6.5
