PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
ING,INGX0002,renovation,1300,125000,6,3.25
ING,INGX0002,renovation,3700,125000,12,3.25
ING,INGX0002,renovation,3700,125000,24,3.25
ING,INGX0002,renovation,3700,125000,30,3.25
ING,INGX0002,renovation,6100,125000,36,3.25
ING,INGX0002,renovation,6100,125000,42,3.25
ING,INGX0002,renovation,8500,125000,48,3.25
ING,INGX0002,renovation,10900,125000,60,3.25
ING,INGX0002,renovation,15700,125000,84,3.25
ING,INGX0002,renovation,20500,125000,120,3.25
ING,INGX0003,energy,1300,125000,6,1.95
ING,INGX0003,energy,3700,125000,12,1.95
ING,INGX0003,energy,3700,125000,24,1.95
ING,INGX0003,energy,3700,125000,30,1.95
ING,INGX0003,energy,6100,125000,36,1.95
ING,INGX0003,energy,6100,125000,42,1.95
ING,INGX0003,energy,8500,125000,48,1.95
ING,INGX0003,energy,10900,125000,60,1.95
ING,INGX0003,energy,15700,125000,84,1.95
ING,INGX0003,energy,20500,125000,120,1.95
ING,INGX0004,new car,1300,125000,6,1.6
ING,INGX0004,new car,1300,125000,12,1.6
ING,INGX0004,new car,1300,125000,24,1.6
ING,INGX0004,new car,4300,125000,36,1.6
ING,INGX0004,new car,10000,125000,48,1.6
ING,INGX0004,new car,12500,125000,60,1.6
ING,INGX0004,new car,25000,125000,72,1.85
ING,INGX0004,new car,25000,125000,84,1.85
ING,INGX0004,new eco-car,1300,125000,6,1.6
ING,INGX0004,new eco-car,1300,125000,12,1.6
ING,INGX0004,new eco-car,1300,125000,24,1.6
ING,INGX0004,new eco-car,4300,125000,36,1.6
ING,INGX0004,new eco-car,10000,125000,48,1.6
ING,INGX0004,new eco-car,12500,125000,60,1.6
ING,INGX0004,new eco-car,25000,125000,72,1.75
ING,INGX0004,new eco-car,25000,125000,84,1.75
ING,INGX0005,second-hand car (less than 3 years),1300,125000,6,1.8
ING,INGX0005,second-hand car (less than 3 years),1300,125000,12,1.8
ING,INGX0005,second-hand car (less than 3 years),1300,125000,24,1.8
ING,INGX0005,second-hand car (less than 3 years),4300,125000,36,1.8
ING,INGX0005,second-hand car (less than 3 years),10000,125000,48,1.8
ING,INGX0005,second-hand car (less than 3 years),12500,125000,60,1.8
ING,INGX0005,second-hand car (less than 3 years),25000,125000,72,2.05
ING,INGX0005,second-hand car (less than 3 years),25000,125000,84,2.05
ING,INGX0005,second-hand car (3 years or more),1300,125000,6,3.85
ING,INGX0005,second-hand car (3 years or more),1300,125000,12,3.85
ING,INGX0005,second-hand car (3 years or more),1300,125000,24,3.85
ING,INGX0005,second-hand car (3 years or more),4300,125000,36,3.85
ING,INGX0005,second-hand car (3 years or more),10000,125000,48,3.85
ING,INGX0005,second-hand car (3 years or more),12500,125000,60,3.85
ING,INGX0004,electric bike,1300,125000,6,1.8
ING,INGX0004,electric bike,1300,125000,12,1.8
ING,INGX0004,electric bike,1300,125000,24,1.8
ING,INGX0004,electric bike,4300,125000,36,1.8
ING,INGX0004,electric bike,10000,125000,48,1.8
ING,INGX0004,electric bike,12500,125000,60,1.8
ING,INGX0004,new motorbike,1300,125000,6,1.8
ING,INGX0004,new motorbike,1300,125000,12,1.8
ING,INGX0004,new motorbike,1300,125000,24,1.8
ING,INGX0004,new motorbike,4300,125000,36,1.8
ING,INGX0004,new motorbike,10000,125000,48,1.8
ING,INGX0004,new motorbike,12500,125000,60,1.8
ING,INGX0005,second-hand motorbyke (less than 3 years),1300,125000,6,1.8
ING,INGX0005,second-hand motorbyke (less than 3 years),1300,125000,12,1.8
ING,INGX0005,second-hand motorbyke (less than 3 years),1300,125000,24,1.8
ING,INGX0005,second-hand motorbyke (less than 3 years),4300,125000,36,1.8
ING,INGX0005,second-hand motorbyke (less than 3 years),10000,125000,48,1.8
ING,INGX0005,second-hand motorbyke (less than 3 years),12500,125000,60,1.8
ING,INGX0005,second-hand motorbyke (3 years or more),1300,125000,6,4.25
ING,INGX0005,second-hand motorbyke (3 years or more),1300,125000,12,4.25
ING,INGX0005,second-hand motorbyke (3 years or more),1300,125000,24,4.25
ING,INGX0005,second-hand motorbyke (3 years or more),4300,125000,36,4.25
ING,INGX0005,second-hand motorbyke (3 years or more),10000,125000,48,4.25
ING,INGX0005,second-hand motorbyke (3 years or more),12500,125000,60,4.25
ING,INGX0004,new mobile home,1300,125000,6,1.8
ING,INGX0004,new mobile home,1300,125000,12,1.8
ING,INGX0004,new mobile home,1300,125000,24,1.8
ING,INGX0004,new mobile home,4300,125000,36,1.8
ING,INGX0004,new mobile home,10000,125000,48,1.8
ING,INGX0004,new mobile home,12500,125000,60,1.8
ING,INGX0004,new mobile home,25000,125000,72,2.05
ING,INGX0004,new mobile home,25000,125000,84,2.05
ING,INGX0005,second-hand mobile home(less than 3 years),1300,125000,6,1.8
ING,INGX0005,second-hand mobile home(less than 3 years),1300,125000,12,1.8
ING,INGX0005,second-hand mobile home(less than 3 years),1300,125000,24,1.8
ING,INGX0005,second-hand mobile home(less than 3 years),4300,125000,36,1.8
ING,INGX0005,second-hand mobile home(less than 3 years),10000,125000,48,1.8
ING,INGX0005,second-hand mobile home(less than 3 years),12500,125000,60,1.8
ING,INGX0005,second-hand mobile home(less than 3 years),25000,125000,72,2.05
ING,INGX0005,second-hand mobile home(less than 3 years),25000,125000,84,2.05
ING,INGX0005,second-hand mobile home(3 years or more),1300,125000,6,4.49
ING,INGX0005,second-hand mobile home(3 years or more),1300,125000,12,4.49
ING,INGX0005,second-hand mobile home(3 years or more),1300,125000,24,4.49
ING,INGX0005,second-hand mobile home(3 years or more),4300,125000,36,4.49
ING,INGX0005,second-hand mobile home(3 years or more),10000,125000,48,4.49
ING,INGX0005,second-hand mobile home(3 years or more),12500,125000,60,4.49
ING,INGX0001,furniture,1300,125000,6,7.2
ING,INGX0001,furniture,1300,125000,12,7.2
ING,INGX0001,furniture,1300,125000,24,7.2
ING,INGX0001,furniture,6100,125000,36,7.2
ING,INGX0001,furniture,8500,125000,48,7.2
ING,INGX0001,furniture,10900,125000,60,7.2
ING,INGX0001,household appliance,1300,125000,6,7.2
ING,INGX0001,household appliance,1300,125000,12,7.2
ING,INGX0001,household appliance,1300,125000,24,7.2
ING,INGX0001,household appliance,6100,125000,36,7.2
ING,INGX0001,household appliance,8500,125000,48,7.2
ING,INGX0001,household appliance,10900,125000,60,7.2
ING,INGX0001,computer and IT equipement,1300,125000,6,7.2
ING,INGX0001,computer and IT equipement,1300,125000,12,7.2
ING,INGX0001,computer and IT equipement,1300,125000,24,7.2
ING,INGX0001,computer and IT equipement,6100,125000,36,7.2
ING,INGX0001,computer and IT equipement,8500,125000,48,7.2
ING,INGX0001,computer and IT equipement,10900,125000,60,7.2
ING,INGX0001,other,1300,125000,6,7.2
ING,INGX0001,other,1300,125000,12,7.2
ING,INGX0001,other,1300,125000,24,7.2
ING,INGX0001,other,6100,125000,36,7.2
ING,INGX0001,other,8500,125000,48,7.2
ING,INGX0001,other,10900,125000,60,7.2
ING,INGX0001,other,15700,125000,72,7.2
ING,INGX0001,other,15700,125000,84,7.2
ING,INGX0001,other,15700,125000,96,7.2
ING,INGX0001,other,15700,125000,108,7.2
ING,INGX0001,other,15700,125000,120,7.2
