PROVIDER ,LOAN TYPE,PRODUCT_ID,MIN AMT,MAX AMT,TERM,RATE
KBC,personal loan,KBCX0001,501,25000,12,6.5
KBC,personal loan,KBCX0001,501,25000,18,6.5
KBC,personal loan,KBCX0001,501,25000,24,6.5
KBC,personal loan,KBCX0001,2501,25000,30,6.5
KBC,personal loan,KBCX0001,3701,25000,36,6.5
KBC,personal loan,KBCX0001,5601,25000,42,6.5
KBC,personal loan,KBCX0001,7501,25000,48,6.5
KBC,personal loan,KBCX0001,10001,25000,54,6.5
KBC,personal loan,KBCX0001,10001,25000,60,6.5
KBC,personal loan,KBCX0001,15001,25000,66,6.5
KBC,personal loan,KBCX0001,15001,25000,72,6.5
KBC,new car,KBCX0002,501,25000,12,1.6
KBC,new car,KBCX0002,501,25000,18,1.6
KBC,new car,KBCX0002,501,25000,24,1.6
KBC,new car,KBCX0002,2501,25000,30,1.6
KBC,new car,KBCX0002,3701,25000,36,1.6
KBC,new car,KBCX0002,5601,25000,42,1.6
KBC,new car,KBCX0002,7501,25000,48,1.6
KBC,new car,KBCX0002,10001,25000,54,1.6
KBC,new car,KBCX0002,10001,25000,60,1.6
KBC,new car,KBCX0002,15001,25000,66,1.6
KBC,new car,KBCX0002,15001,25000,72,1.6
KBC,2nd hand car,KBCX0003,501,25000,12,3.95
KBC,2nd hand car,KBCX0003,501,25000,18,3.95
KBC,2nd hand car,KBCX0003,501,25000,24,3.95
KBC,2nd hand car,KBCX0003,2501,25000,30,3.95
KBC,2nd hand car,KBCX0003,3701,25000,36,3.95
KBC,2nd hand car,KBCX0003,5601,25000,42,3.95
KBC,2nd hand car,KBCX0003,7501,25000,48,3.95
KBC,2nd hand car,KBCX0003,10001,25000,54,3.95
KBC,2nd hand car,KBCX0003,10001,25000,60,3.95
KBC,2nd hand car,KBCX0003,15001,25000,66,3.95
KBC,2nd hand car,KBCX0003,15001,25000,72,3.95
KBC,renovation,KBCX0004,501,25000,12,2.95
KBC,renovation,KBCX0004,501,25000,18,2.95
KBC,renovation,KBCX0004,501,25000,24,2.95
KBC,renovation,KBCX0004,2501,25000,30,2.95
KBC,renovation,KBCX0004,3701,25000,36,2.95
KBC,renovation,KBCX0004,5601,25000,42,2.95
KBC,renovation,KBCX0004,7501,25000,48,2.95
KBC,renovation,KBCX0004,10001,25000,54,2.95
KBC,renovation,KBCX0004,10001,25000,60,2.95
KBC,renovation,KBCX0004,15001,25000,66,2.95
KBC,renovation,KBCX0004,15001,25000,72,2.95
KBC,energy loan,KBCX0005,501,25000,12,1.8
KBC,energy loan,KBCX0005,501,25000,18,1.8
KBC,energy loan,KBCX0005,501,25000,24,1.8
KBC,energy loan,KBCX0005,2501,25000,30,1.8
KBC,energy loan,KBCX0005,3701,25000,36,1.8
KBC,energy loan,KBCX0005,5601,25000,42,1.8
KBC,energy loan,KBCX0005,7501,25000,48,1.8
KBC,energy loan,KBCX0005,10001,25000,54,1.8
KBC,energy loan,KBCX0005,10001,25000,60,1.8
KBC,energy loan,KBCX0005,15001,25000,66,1.8
KBC,energy loan,KBCX0005,15001,25000,72,1.8
